,Name,Male,Female
0,Aaju,1,1
1,Aaria,1,1
2,Aarya,1,1
3,Abel,1,1
4,Abiodun,1,1
5,Abiola,1,1
6,Abir,1,1
7,Acelya,1,1
8,Ada,1,1
9,Adama,1,1
10,Adan,1,1
11,Adar,1,1
12,Addis,1,1
13,Addison,1,1
14,Adel,1,1
15,Aden,1,1
16,Adhvik,1,1
17,Adi,1,1
18,Adian,1,1
19,Adita,1,1
20,Aezha,1,1
21,Afnan,1,1
22,Agam,1,1
23,Agne,1,1
24,Agni,1,1
25,Ahsen,1,1
26,Ahura,1,1
27,Aidan,1,1
28,Aiden,1,1
29,Aiko,1,1
30,Aimal,1,1
31,Aiman,1,1
32,Ainhoa,1,1
33,Aisosa,1,1
34,Ajnur,1,1
35,Ajo,1,1
36,Aki,1,1
37,Akila,1,1
38,Akira,1,1
39,Akisooq,1,1
40,Akram,1,1
41,Akshini,1,1
42,Al,1,1
43,Ala,1,1
44,Alaa,1,1
45,Alae,1,1
46,Alaz,1,1
47,Albi,1,1
48,Alec,1,1
49,Alek,1,1
50,Aleksa,1,1
51,Alem,1,1
52,Alex,1,1
53,Alexis,1,1
54,Alfa,1,1
55,Alfie,1,1
56,Alham,1,1
57,Alija,1,1
58,Alin,1,1
59,Alix,1,1
60,Alke,1,1
61,Alla,1,1
62,Allen,1,1
63,Alli,1,1
64,Almas,1,1
65,Alpha,1,1
66,Altaf,1,1
67,Alvild,1,1
68,Amal,1,1
69,Aman,1,1
70,Amana,1,1
71,Amani,1,1
72,Amar,1,1
73,Amari,1,1
74,Amaru,1,1
75,Amel,1,1
76,Amen,1,1
77,Ameya,1,1
78,Ami,1,1
79,Amine,1,1
80,Amran,1,1
81,An,1,1
82,Anan,1,1
83,Ananda,1,1
84,Anava,1,1
85,Anda,1,1
86,Andi,1,1
87,Andie,1,1
88,Andrea,1,1
89,Andy,1,1
90,Anele,1,1
91,Ange,1,1
92,Angel,1,1
93,Anh,1,1
94,Ani,1,1
95,Anis,1,1
96,Anmol,1,1
97,Anne,1,1
98,Antonie,1,1
99,Anu,1,1
100,Anuk,1,1
101,Anur,1,1
102,Anwar,1,1
103,Aputsiaq,1,1
104,Ara,1,1
105,Aram,1,1
106,Araw,1,1
107,Arda,1,1
108,Arden,1,1
109,Areg,1,1
110,Ari,1,1
111,Aria,1,1
112,Arian,1,1
113,Ariel,1,1
114,Arin,1,1
115,Ariya,1,1
116,Arjin,1,1
117,Armani,1,1
118,Arshia,1,1
119,Arta,1,1
120,Artemis,1,1
121,Arveen,1,1
122,Arya,1,1
123,Asa,1,1
124,Ash,1,1
125,Ashley,1,1
126,Asil,1,1
127,Aska,1,1
128,Asla,1,1
129,Aslaug,1,1
130,Asoh,1,1
131,Assana,1,1
132,Assil,1,1
133,Aster,1,1
134,Aston,1,1
135,Ata,1,1
136,Atlas,1,1
137,Auguste,1,1
138,Aulia,1,1
139,Ava,1,1
140,Avalon,1,1
141,Avan,1,1
142,Aven,1,1
143,Avery,1,1
144,Avesta,1,1
145,Avi,1,1
146,Aviv,1,1
147,Avneet,1,1
148,Avyan,1,1
149,Awaz,1,1
150,Awele,1,1
151,Awi,1,1
152,Awin,1,1
153,Ayaan,1,1
154,Ayan,1,1
155,Aycan,1,1
156,Aye,1,1
157,Ayhan,1,1
158,Ayo,1,1
159,Ayomide,1,1
160,Aysan,1,1
161,Azhar,1,1
162,Azura,1,1
163,Baby,1,1
164,Badr,1,1
165,Bahati,1,1
166,Bailey,1,1
167,Balou,1,1
168,Bana,1,1
169,Bao,1,1
170,Baraa,1,1
171,Baraka,1,1
172,Bari,1,1
173,Barri,1,1
174,Barry,1,1
175,Bawi,1,1
176,Bay,1,1
177,Beka,1,1
178,Bela,1,1
179,Benja,1,1
180,Benne,1,1
181,Benni,1,1
182,Bennie,1,1
183,Benny,1,1
184,Bera,1,1
185,Beren,1,1
186,Berlin,1,1
187,Bernie,1,1
188,Berti,1,1
189,Bertie,1,1
190,Bethel,1,1
191,Bewar,1,1
192,Bi,1,1
193,Biak,1,1
194,Bille,1,1
195,Billi,1,1
196,Billie,1,1
197,Bin,1,1
198,Binh,1,1
199,Birke,1,1
200,Biruk,1,1
201,Björk,1,1
202,Bjørk,1,1
203,Blake,1,1
204,Blessing,1,1
205,Blu,1,1
206,Blue,1,1
207,Bo,1,1
208,Bobbi,1,1
209,Bobbie,1,1
210,Bobby,1,1
211,Bode,1,1
212,Bodhi,1,1
213,Bora,1,1
214,Bowie,1,1
215,Boyi,1,1
216,Brodie,1,1
217,Brooklyn,1,1
218,Bubi,1,1
219,Cali,1,1
220,Cameron,1,1
221,Camille,1,1
222,Cane,1,1
223,Carly,1,1
224,Carol,1,1
225,Casey,1,1
226,Caspian,1,1
227,Cass,1,1
228,Cassidy,1,1
229,Cassiel,1,1
230,Ce,1,1
231,Cecil,1,1
232,Cennet,1,1
233,Ceylan,1,1
